Keyword,Topico,Subtopico,Position,Traffic,URL,Query,Resultados,Nivel_concorrencia
como comprar produtos e revender na shope,Shopee,Como Vender,1,0,https://mambadigital.com.br/blog/o-guia-para-vender-na-shopee/,"""como comprar produtos e revender na shope"" -instagram -youtube -tiktok",0,Baixa
devolução mercado livre quantos dias,Mercado Livre,Devolucoes e Trocas,1,0,https://mambadigital.com.br/blog/como-e-feita-a-devolucao-no-mercado-livre/,"""devolução mercado livre quantos dias"" -instagram -youtube -tiktok",0,Baixa
mercado livre vende para cnpj,Mercado Livre,CPF ou CNPJ / Dropshipping,1,0,https://mambadigital.com.br/blog/cpf-ou-cnpj-mercado-livre/,"""mercado livre vende para cnpj"" -instagram -youtube -tiktok",0,Baixa
oq e centro logistico shopee,Shopee,Logistica e Fulfillment,3,0,https://mambadigital.com.br/blog/centro-logistico-da-shopee/,"""oq e centro logistico shopee"" -instagram -youtube -tiktok",0,Baixa
o que é anuncio pausado no mercado livre,Mercado Livre,Gestao de Anuncios,1,8,https://mambadigital.com.br/blog/anuncio-pausado-no-mercado-livre/,"""o que é anuncio pausado no mercado livre"" -instagram -youtube -tiktok",1,Baixa
como cadastrar produto na shopee,Shopee,Cadastro de Produtos,4,7,https://mambadigital.com.br/blog/como-cadastrar-um-produto-na-shopee/,"""como cadastrar produto na shopee"" -instagram -youtube -tiktok",1,Baixa
caixa mercado livre png,Mercado Livre,Taxas e Custos,1,5,https://mambadigital.com.br/blog/quais-sao-as-taxas-do-mercado-livre/,"""caixa mercado livre png"" -instagram -youtube -tiktok",1,Baixa
taxa shopee vendedor cpf,Shopee,Taxas e Calculadora,3,2,https://mambadigital.com.br/blog/quais-sao-as-taxas-da-shopee/,"""taxa shopee vendedor cpf"" -instagram -youtube -tiktok",1,Baixa
taxas shopee vendedor,Shopee,Taxas e Calculadora,1,1,https://mambadigital.com.br/blog/quais-sao-as-taxas-da-shopee/,"""taxas shopee vendedor"" -instagram -youtube -tiktok",1,Baixa
como cadastrar na shopee para vender,Shopee,Como Vender,1,1,https://mambadigital.com.br/blog/o-guia-para-vender-na-shopee/,"""como cadastrar na shopee para vender"" -instagram -youtube -tiktok",1,Baixa
